TEXT_REMARKS,ACTION_CATEGORY,PREDICTED_DEPARTMENT,CONFIDENCE_SCORE,CONFIDENCE_RANGE,MATCH_STATUS
meter site is unsafe conditionmeter installed logh height more than feet so meter couldnt be tested,Field Operations / Meter Testing,Field Operations / Meter Testing,97.23,100-90% Very High,Correct
meter site is unsafe conditions meter hang on wall so meter couldnt be tested,Field Operations / Meter Testing,Field Operations / Meter Testing,97.4,100-90% Very High,Correct
Side unsafe for meter testing due to materials found front of meter at the time of testing so meter could not be test discuss with consumer sh Krishna Pandey phone no,Field Operations / Meter Testing,Field Operations / Meter Testing,94.05,100-90% Very High,Correct
meter Installed in stairs so unsafe conditions,Field Operations / Meter Testing,Field Operations / Meter Testing,97.08,100-90% Very High,Correct
meter fully unsafe condition meter hanging on pole so meter unsafe could not be tasted,Field Operations / Meter Testing,Field Operations / Meter Testing,99.06,100-90% Very High,Correct
Side unsafe for meter testing due to no suitable space for meter test discuss with consumer sh Lakhan phone no,Field Operations / Meter Testing,Field Operations / Meter Testing,91.98,100-90% Very High,Correct
Side unsafe for meter testing due to materials found front of meter at the time of testing discuss with consumer sh Hawa singh phone no,Field Operations / Meter Testing,Field Operations / Meter Testing,94.93,100-90% Very High,Correct
Side unsafe for meter testing due to no suitable space for meter test at the time of testing,Field Operations / Meter Testing,Field Operations / Meter Testing,98.38,100-90% Very High,Correct
no space for ct so unsafe conditions,Field Operations / Meter Testing,Field Operations / Meter Testing,98.81,100-90% Very High,Correct
meter at unsafe condition meter fell down the stairs,Field Operations / Meter Testing,Field Operations / Meter Testing,96.69,100-90% Very High,Correct
Side unsafe for meter testing due to materials found front of meter at the time of testing so meter could not be test,Field Operations / Meter Testing,Field Operations / Meter Testing,98.23,100-90% Very High,Correct
side unsafe for meter testing due to meter found long height so meter could not be test,Field Operations / Meter Testing,Field Operations / Meter Testing,98.34,100-90% Very High,Correct
meter hanging on The pole so unsafe conditions,Field Operations / Meter Testing,Field Operations / Meter Testing,98.37,100-90% Very High,Correct
Meter installed on height more than fit so meter is unsafe conditions so meter could not be test,Field Operations / Meter Testing,Field Operations / Meter Testing,97.89,100-90% Very High,Correct
Meter On Height Fit So Meter Unsafe Condition So Meter could not be Tested,Field Operations / Meter Testing,Field Operations / Meter Testing,98.66,100-90% Very High,Correct
Meter is installed at unsafe location Used scrap seals found inside the Meter Chamber box with treansformer oil filled inside the Chamber Also oil leakage from Upper valve of Transformer hence meter could not be tested and Mail sent to zone,Field Operations / Meter Testing,Field Operations / Meter Testing,96.15,100-90% Very High,Correct
No Space For Meter Testing no Suitable Space For Meter Testing So Meter Unsafe Condition So Meter could not be Tested,Field Operations / Meter Testing,Field Operations / Meter Testing,99.24,100-90% Very High,Correct
Side unsafe for meter testing due to wire insulation damage The Squirrel has cut the output wire insulation so meter could not be test discuss with consumer sh Ramavtar phone no,Field Operations / Meter Testing,Field Operations / Meter Testing,94.49,100-90% Very High,Correct
Meter box cover found damage at the time of testing so meter could not be test,Field Operations / Meter Testing,Field Operations / Meter Testing,87.35,90-75% High,Correct
Meter tested as per all safety normsAll display parameters found OK at the time of meter testingmeter box found damage,Field Operations / Meter Testing,No Action Needed,93.9,100-90% Very High,Wrong
Meter Box damage so meter could not be tested,Field Operations / Meter Testing,Field Operations / Meter Testing,94.48,100-90% Very High,Correct
Meter Box damage and unsafe conditions so meter could not be tested,Field Operations / Meter Testing,Field Operations / Meter Testing,99.46,100-90% Very High,Correct
Meter box damageso meter could not be tested at the time of the testing,Field Operations / Meter Testing,Field Operations / Meter Testing,95.9,100-90% Very High,Correct
meter box damage on back side,Field Operations / Meter Testing,Field Operations / Meter Testing,96.14,100-90% Very High,Correct
Meter not traceable at site given pole number or address is wrong,Field Operations / Meter Testing,Field Operations / Meter Testing,98.48,100-90% Very High,Correct
meter not traceable pole no wrong,Field Operations / Meter Testing,Field Operations / Meter Testing,96.42,100-90% Very High,Correct
meter not traceable pole no wrong,Field Operations / Meter Testing,Field Operations / Meter Testing,96.42,100-90% Very High,Correct
meter not traceable at site,Field Operations / Meter Testing,Field Operations / Meter Testing,98.51,100-90% Very High,Correct
meter not tracebale at site so meter could not be test,Field Operations / Meter Testing,Field Operations / Meter Testing,94.57,100-90% Very High,Correct
SITE METER NOT TRACEABLE SO METER COULDNT BE TESTED AT THE TIME OF TESTING,Field Operations / Meter Testing,Field Operations / Meter Testing,98.13,100-90% Very High,Correct
meter not traceable at site no call response,Field Operations / Meter Testing,Field Operations / Meter Testing,96.22,100-90% Very High,Correct
SITE METER NOT TRACEABLE AT SITE NO RESPONSE ON GIVEN PHONE NUMBER SO METER COULDNT BE TESTED AT THE TIME OF TESTING,Field Operations / Meter Testing,Field Operations / Meter Testing,92.07,100-90% Very High,Correct
meter not traceable at site,Field Operations / Meter Testing,Field Operations / Meter Testing,98.51,100-90% Very High,Correct
Meter not Traceable at site said Pole at the time of testing,Field Operations / Meter Testing,Field Operations / Meter Testing,96.57,100-90% Very High,Correct
SITE METER NOT TRACEABLE AT SITE NO RESPONSE ON GIVEN PHONE NUMBER SO METER COULDNT BE TESTED AT THE TIME OF TESTING,Field Operations / Meter Testing,Field Operations / Meter Testing,92.07,100-90% Very High,Correct
meter not traceable at site no and phone not working,Field Operations / Meter Testing,Field Operations / Meter Testing,96.19,100-90% Very High,Correct
Meter not Traceable At Site So Meter could not be Tested,Field Operations / Meter Testing,Field Operations / Meter Testing,98.41,100-90% Very High,Correct
Meter not traceable said pole at the time of testing so meter could not be test,Field Operations / Meter Testing,Field Operations / Meter Testing,94.85,100-90% Very High,Correct
meter retain as per system,Scheduling / Field Dispatch Team,Meter Replacement / Installation Team,66.79,75-50% Medium,Wrong
Meter calibration pluse not belinking at load alongwith No display and meter terminal found melt at the time of testing so meter Suspected refered to enforcement inspection,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,96.33,100-90% Very High,Correct
Cover open event appear on meter displayrefer to CEG,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,69.23,75-50% Medium,Correct
meter stop at so case send to CEG team for further inspaction,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,95.55,100-90% Very High,Correct
Meter Display Show Cover OpenSo meter is suspected and referred to CEG for further analysis,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,98.69,100-90% Very High,Correct
Meter is suspected refer to CEG,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,99.57,100-90% Very High,Correct
Meter calibration LED is not blinking on loadmeter box seal was missing however terminal seal was interacted,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,96.34,100-90% Very High,Correct
Meter reading reverse jump hence referred to CEG for further investigation,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,73.43,75-50% Medium,Correct
