SR_NO,TEXT_REMARKS,ACTION_CATEGORY,HOLD_CANCEL_REASON,processed_text
1631,meter is tampered at site meter display is found suspected as display is not found on external loadkw also on external load display is only showing on no load conditions el led is found glowing even on no earth leakage hence meter is suspected therefore same has been refered to ceg for further analysis,,D320,meter tamper site meter display suspect display external loadkw external load display show load condition el led glow earth leakage meter suspect refer ceg analysi
1645,cover open event found on meter display therefore same is been reffered to ceg for further analysis,,D320,cover open event meter display reffer ceg analysi
1654,meter incoming terminal burnt so meter is suspected refer to ceg for further analysis,,D320,meter incom terminal burnt meter suspect refer ceg analysi
1655,meter calibration pulse not blinking at load also no display at the time of testing so this case is referred to ceg for further examination or analysis,,D320,meter calibration pulse blink load display time test case referr ceg examination analysi
1662,meter pulse found abnormally blinking even on external load kw magnet tamper event is found on meter display also in display amp current is showing on phase and amp in neutral parameter hence meter is suspected and same is been reffered to ceg for further analysis,,D320,meter pulse abnormally blink external load kw magnet tamper event meter display display amp current show phase amp neutral parameter meter suspect reffer ceg analysi
1664,as per meter condition and consumer wordings at the time of site visit meter is suspected tampered hence referred for further analysis to ceg,,D320,meter condition consumer wording time site visit meter suspect tamper referr analysi ceg
1677,meter calibration pulse abnormal blinking on load so meter suspected refer to ceg,,D320,meter calibration pulse abnormal blink load meter suspect refer ceg
1678,meter tampered at site meter found are broken so meter suspected refer to ceg,,D320,meter tamper site meter broken meter suspect refer ceg
1682,meter voltage parameters not matching with reference also high voltage and neutral cut tamper event found on display hence meter is suspected therefore same is been referred to ceg for further analysis photographs have been attached for the same,,D320,meter voltage parameter match reference high voltage neutral cut tamper event display meter suspect referr ceg analysi photograph attach
1688,meter tampered at site hole found in meter box so refer to ceg,,D320,meter tamper site hole meter box refer ceg
1698,meter reading forword jump privious khw mdi zero so meter suspected refer to ceg for further analysis,,D320,meter read forword jump priviou khw mdi zero meter suspect refer ceg analysi
1702,meter display showing opn so meter suspected refer to enforcement,,D320,meter display show opn meter suspect refer enforcement
1707,meter calibration pulse not blinking even on external load kw hence meter is suspected therefore the same has been referred to ceg for further analysis,,D320,meter calibration pulse blink external load kw meter suspect referr ceg analysi
1709,meter is suspected tampered as load is running but not reflecting on meter display,,D320,meter suspect tamper load runn reflect meter display
